name,id,new_id,x,y,address,owner_name,notes,category
فارما زون الفروانية,76,20082293,47.95894397,29.26988739,الفروانية ق 6 مبني 1017,ص/ الاء عثمان عبد الرحمن المحطب,,pharmazone
فارما زون الرقعي,77,20896975,47.91623969,29.30576749,الرقعي ق 1 شارع 2 قسيمة 78,ص/ شريفه وضاح خالد الزيد,,pharmazone
فارما زون الرقعي تو,78,12753114,47.91490663,29.30165197,الرقعي ق 2 شارع 17,ص/ فهد حسين صالح العجمي,,pharmazone
فارما زون الناصر,79,18655988,47.67202178,29.3392768,الجهراء ق 93 مبني 43,ص/ إسراء محمد احمد الكندري,,pharmazone
فارما زون سليل الجهراء,80,17893263,47.64978162,29.3636039,الجهراء مجمع سليل ق 6,ص/ زينب حسن ابراهيم دشتي,,pharmazone
فارمازون الجهراء,81,16525733,47.66716675,29.35515044,الجهراء- قطعة 90- شارع المضخة,ص/ دينا أحمد الشرهان,,pharmazone
فارما زون القيصرية,82,91226469,47.67109066,29.35426413,الجهراء قطعة 21 – مبنى 18,ص/ عذاري مسلط ذعار العتيبى,,pharmazone
فارما زون الجهراء مول,83,20552486,47.66009475,29.31232856,الجهراء الصناعية ق 1 مبني 22,ص/ حصه عبد العزيز مشعان الخالدي,,pharmazone
فارمازون صحاري مول,84,93322622,47.67167459,29.34708092,الجهراء ق 3 مجمع صحاري مول,ص/ فاطمة صلاح حسين السبيعي,,pharmazone
فارمازون الديرة,85,14693573,47.66579171,29.35074706,الجهراء- قطعة 5- الشارع الرابع,ص/ عزة شفيق جراح,,pharmazone
فارما زون واره,86,91549276,47.66490723,29.35146087,الجهراء ق 33 شارع مرزوق متعب,ص/ لولوه عبد الحمن عبد الله الدعيج,,pharmazone
فارما زون بوابة الجهراء,87,15036292,47.6663916,29.3512744,الجهراء ق 90 الشارع الرئيسي مجمع القصر,ص/ يوسف فيصل رويح,,pharmazone
فارما زون المخيال,88,94387815,47.67089103,29.33890559,الجهراء ق 93 شارع مرزوق المتعب ,ص/ مريم عبد الحميد عبد المحسن الموسي,,pharmazone
فارما زون العالمية,89,19617086,47.67438311,29.34018789,الجهراء ق 4 شارع 3 جادة 7,ص/ محمد صالح محمد المشموم,,pharmazone
فارما زون سيتي سنتر,90,19845804,47.64978162,29.3636039,الجهراء منتجع سليل التجاري محل 8,ص/ فاطمة عبد الحميد عبد المحسن الموسي,,pharmazone
فارما زون خيطان فور,91,20482879,47.97004752,29.29046091,خيطان ق 7 قسيمة 32,ص/ علي حسين عبد النبي الصايغ,,pharmazone
فارما زون الجليب,92,17060309,47.92526253,29.25520252,جليب الشيوخ ق 24 قسيمه 48,ص/ عماد حسين محمد الفارس,,pharmazone
فارما زون شاهه,93,17105036,47.96883545,29.2969367,ابرق خيطان ق 1+2+3 قسيمة 101 ,ص/ أميره صالح العوضي,,pharmazone
فارمازون الفروانية تو,94,15773313,47.66481826,29.35490208,الفروانية- شارع حبيب مناور- ق 58,السيدة / عمشه نزال رشيد المعصب,,pharmazone
فارما زون الشهداء,95,16929973,47.9777554,29.28335534,خيطان ق 6,ص/ فيصل حمد دراس العنزي,,pharmazone
فارما زون خيطان ثري,96,21047991,47.9766803,29.28329417,خيطان القديمة ق 6 مبني 215,ص/ عبير عبد الله عبد الرحمن بخش,,pharmazone
فارما زون المغيرة,97,14971174,47.90917253,29.3017992,الرقعي قطعة2 شارع21 قسيمة 1509,ص/ حسن احمد حسن الصباغه,,pharmazone
فارما زون العمرية,98,21581174,48.08567288,29.25745796,صباح السالم ق1 قسيمة528 ش104,ص/ محمد عبد الرضا عامر البلوشي,,pharmazone
